Country Name,e2003,e2004,e2005,e2006,e2007,e2008,e2009,e2010,e2011,e2012
World,9.45747E+12,1.14532E+13,1.30044E+13,1.49534E+13,1.73841E+13,1.97969E+13,1.59682E+13,1.89961E+13,2.25348E+13,2.24484E+13
Afghanistan,1996493969,1796871785,1719073112,1868166742,1754539878,1833580319,1836529347,1597479326,1594996766,
Albania,1165475463,1608000000,1865700000,2291407952,3080498579,3827220339,3443076439,3845303381,4380453416,
Algeria,26028319365,34066690140,48760848741,56953484924,63297350511,79122989022,40454373737,49938918451,,
American Samoa,,,,,,,,,,
Andorra,,,,,,,,,,
Angola,9709372694,13780700347,24285932876,33363594812,46181431670,65741842597,41562558478,51472646827,67651338393,
Antigua and Barbuda,489060708.8,533973101.7,545269375.6,548169815.9,581253581.2,625368801.9,561623502.2,523847207.8,536925734.8,
Argentina,33605720010,39364844150,45922786375,53001623661,64218386195,79932459853,65581283100,80039568150,97342092422,92763191290
Armenia,902544361.3,1063500422,1411777622,1491344582,1766283618,1754795895,1338234420,1928926296,2405910454,
Aruba,1275569832,1450173184,1597854749,1585854749,1729374302,1849972067,1593977654,1517698324,1829078212,
Australia,88231217239,1.04197E+11,1.25398E+11,1.46709E+11,1.70209E+11,2.09331E+11,2.09026E+11,2.22961E+11,2.93141E+11,3.25795E+11
Austria,1.22507E+11,1.5004E+11,1.642E+11,1.8315E+11,2.20899E+11,2.45468E+11,1.9206E+11,2.03882E+11,2.39282E+11,2.27821E+11
Azerbaijan,3056613000,4235003000,8336195688,13954517349,22516854000,32133898843,22846820000,28730455367,37215153273,34959412690
"Bahamas, The",2901230000,3160700000,3482130000,3557560000,3888240000,3796880000,3117240000,3223080000,3431480000,
Bahrain,7981063255,10336976955,13397164699,15662650602,17314822203,21212725667,15704954308,17880509367,22945722827,
Bangladesh,7378911917,8747035842,9994813008,11744907683,13530306979,16181037750,17360479651,18471882567,25627355570,28896472810
Barbados,1376950000,1475470600,1784473845,1918803456,2026936366,2203800000,2179300000,1945600000,,
Belarus,11614408823,15709975383,18064972932,22199813322,27592401029,37027902622,24896648145,29971663684,52142849418,51649151977
Belgium,2.30444E+11,2.74651E+11,2.96892E+11,3.23027E+11,3.79399E+11,4.30931E+11,3.44568E+11,3.74386E+11,4.33238E+11,4.10175E+11
Belize,526733366.3,534966442.2,609026816.3,744269595.4,764512841,843550000,212550000,816350000,949150000,
Benin,746160209.4,811412728.9,940224743.7,869265159.3,1076171217,1312253884,1039403476,990944563.4,1092915729,
Bermuda,,,,,,,,,,
Bhutan,162929519.8,219887877.9,313216150,488508184.7,657496114.3,585807860.3,578027267.1,631469932.2,634277851.4,
Bolivia,2069152855,2731911667,3394561951,4783632127,5483635198,7487843527,6194300427,8093221710,10565766357,12774727352
Bosnia and Herzegovina,2535225096,3231697333,3519198702,4545598140,6621313350,7614709929,5410023403,5955887016,7647110829,7522615271
Botswana,3667648361,4444150960,5255956381,5291805579,5963997110,5662430294,3745336727,4916670982,6782451078,6453876585
Brazil,82797855054,1.09023E+11,1.3346E+11,1.5646E+11,1.82671E+11,2.25926E+11,1.77878E+11,2.32982E+11,2.94453E+11,2.82875E+11
Brunei Darussalam,4543527023,5416090244,6688037371,8227327082,8310397452,11269686706,7811357074,10073739366,13296785813,13794618274
