Country Name,i2003,i2004,i2005,i2006,i2007,i2008,i2009,i2010,i2011,i2012
World,9.38994E+12,1.13554E+13,1.28578E+13,1.47008E+13,1.70105E+13,1.94785E+13,1.55737E+13,1.84935E+13,2.1863E+13,
Afghanistan,4324405538,4605715880,4861122237,5228625198,5743891674,5612186830,5269396757,7162545262,6566120029,
Albania,2592961199,3232590833,3880500000,4488758461,5883787595,7277914194,6484661953,6388812033,7257355785,
Algeria,16238951868,21807881792,24837599975,25210950486,31632800407,39171298949,34282410639,34820200541,,
American Samoa,,,,,,,,,,
Andorra,,,,,,,,,,
Angola,8801245549,10621450648,15144342985,16287186151,26304717510,43121586891,41820432261,35421222361,45089424692,
Antigua and Barbuda,542675003,592338401.8,682720499.8,818413161.5,932372126.5,941548735.6,706477113,680110600.7,644061037.8,
Argentina,19068641257,28130366099,35152476501,41169640967,53032886873,67440826609,49152108333,67848179303,87118917401,81892433048
Armenia,1404513019,1620291874,2118444362,2505912893,3604332612,4741281825,3719027197,4196501475,4928041999,
Aruba,1432167598,1527994413,1816625698,1888111732,2005849162,2091921788,1906100559,1846245810,2233916201,
Australia,97950495050,1.20022E+11,1.42948E+11,1.57707E+11,1.79557E+11,2.31134E+11,2.04505E+11,2.28036E+11,2.72132E+11,3.21908E+11
Austria,1.13637E+11,1.3903E+11,1.52049E+11,1.66704E+11,1.99411E+11,2.21627E+11,1.74788E+11,1.88067E+11,2.25409E+11,2.13725E+11
Azerbaijan,4769301855,6312111000,7006432766,8132599236,9423601000,11464375557,9871580000,10941630848,15882127610,16121396262
"Bahamas, The",2758870000,3018930000,3700160000,4417160000,4489390000,4451750000,3728030000,3894520000,4522350000,
Bahrain,6205218169,8170695956,10287241590,11559349983,12626665603,16276502942,11354110150,13097213800,13884456218,
Bangladesh,10401053541,11772226941,13891430894,15626727219,18268578048,22873050576,23727165698,25105548783,35373869598,40834742900
Barbados,1546500000,1785950000,2083816594,2054253330,2178163034,2355950000,2321950000,2153400000,,
Belarus,12296961250,17182669848,17850098894,23742042123,30430179676,41721254682,30440078867,37487770731,52836311255,48782705084
Belgium,2.13598E+11,2.56879E+11,2.8205E+11,3.07782E+11,3.61736E+11,4.26591E+11,3.3166E+11,3.63764E+11,4.26901E+11,4.044E+11
Belize,653017485.1,618982118,698550143.2,750575092.5,787573459.7,951700000,237400000,809700000,944700000,
Benin,1104870334,1159746114,1244011184,1305098925,1561820113,1824328758,1653139900,1616587085,1966797910,
Bermuda,,,,,,,,,,
Bhutan,274714422.7,406161736.8,515281646.2,531223142.7,685128291.5,725688347.5,786448047.9,925817953.2,966564538.5,
Bolivia,2131093717,2309687993,3064699812,3752327025,4495769534,6329633057,5705628917,6744604988,9199145159,10233217800
Bosnia and Herzegovina,6961219535,7767381127,7847831755,8179555357,12205232487,14418508346,9292578513,9408851925,11726534799,11370002571
Botswana,2779809022,3706971541,3533707932,3451290036,4438443142,5159167933,4934300568,5934095981,7666158535,7253244843
Brazil,66711732207,83289572650,1.01628E+11,1.24853E+11,1.61894E+11,2.22784E+11,1.80475E+11,2.55084E+11,3.12617E+11,3.15071E+11
Brunei Darussalam,2358621283,2502655964,2601040645,2892504248,3416827019,3974597798,3841055960,4066251833,4765432827,5286151053
Bulgaria,12164784440,16027567773,16073489613,26167548259,33347033098,40802779897,27363986635,28304560223,35617169124,35886639552
Burkina Faso,926190139.9,1248353139,1408926795,1476327408,1684341643,2204835668,2320061004,2291164239,2970702820,
Burundi,164737714.8,225367196.2,373658351.7,596736769.3,464102385.1,611231174.8,750254656.2,794106664.5,887268090.9,
Cambodia,3100545073,3784818547,4578016313,5530168173,6301595122,7016160084,5816524340,6691502087,7633716515,
Cameroon,3188876971,3863729500,4377806970,4980491791,6033356543,7860761993,6282100931,6490761516,8821608133,
Canada,2.97521E+11,3.38438E+11,3.86438E+11,4.29911E+11,4.70212E+11,5.04811E+11,4.07075E+11,4.9376E+11,5.62358E+11,
Cape Verde,548644491.2,642983654,647010837.1,805264810.4,1035307625,1223837053,1086959249,1113292857,1379474880,
Cayman Islands,,,,,,,,,,
Central African Republic,205239841,257312036.2,280456748,322489939.9,398343567.6,465249229.2,426981705.5,488239408.4,510529560.8,
Chad,1607680651,2241006239,2324310988,2509131414,3664418365,4197110187,2003234779,2388158442,2695467977,
Channel Islands,,,,,,,,,,
Chile,24286233856,30595418148,39293074979,45824928575,55298058400,71014857483,51009058168,69102646909,87189759494,90806883555
China,4.48924E+11,6.06543E+11,7.1209E+11,8.52769E+11,1.03473E+12,1.23284E+12,1.1132E+12,1.58336E+12,1.99829E+12,
Colombia,18880942593,22352724175,27522814871,33427910956,41049095461,49437130105,42670565558,50988385237,66573438856,
Comoros,101202004.5,119511231.1,138381746.6,155668065.8,192143408.5,255962326.6,257844429.6,274121921.8,316105561.5,
"Congo, Dem. Rep.",1611673430,2240248304,3246893867,3587597348,6864887553,8918203920,6824561227,10216983213,12211027931,
"Congo, Rep.",2658587600,2363288798,3317744807,5073251003,4493098679,5574031503,4816476947,6568061241,5021464011,
Costa Rica,8502184445,9201623488,10775922718,12453284286,14086431204,16467851546,12253834883,14845225073,17362267774,18835740033
Cote d'Ivoire,4795936846,6092546943,7132373871,7356230170,8302473997,9085422624,,,,
Croatia,17160620445,20145578114,21770246705,24713041340,29389818006,34678524679,24985462892,23700586556,26171749338,24467773307
Cuba,4895200000,5841100000,7822600000,9744000000,10332600000,14806100000,,,,
Curacao,,,,,,,,,,
Cyprus,6420955177,7946299511,8649622211,9541480721,11837435208,14227332650,10725757155,10769933775,,
Czech Republic,57453507746,70782283874,80245409015,94884955752,1.18335E+11,1.3991E+11,1.08311E+11,1.255E+11,1.48492E+11,1.42201E+11
Denmark,83034291179,98982817732,1.13592E+11,1.34147E+11,1.55504E+11,1.77313E+11,1.35829E+11,1.40337E+11,1.60759E+11,1.57503E+11
Djibouti,305236860,360805419.7,361105328,440797654.8,654165799.2,,,,,
Dominica,157336553.1,174111513.2,196125121.1,198852566.3,236331767.4,287322126.3,264639781.5,262304458.9,260651926,
Dominican Republic,9233842215,9158579073,12072835164,13633961979,15614306437,17936972158,14130815248,17674725693,19687008143,20043854962
Ecuador,7992504000,9554409000,11821905000,13748900000,15636623000,20933400000,16790125000,22082885000,25899560000,27901055000
"Egypt, Arab Rep.",20219474712,23330246462,29245707243,33931336895,45442999168,62909090909,59712588966,58195930935,58264349089,67411794145
El Salvador,6466200000,7121900000,7548900000,8564300000,9709600000,10650900000,7990600000,9176500000,10797400000,11095900000
Equatorial Guinea,2256339913,2881884422,3583355136,3178589253,3808707315,6946221969,7418409669,7696125942,9382141039,
Eritrea,587987184.6,663164472.6,603478679.6,464617886.2,379414634.1,360673606.7,435274748.3,494229452.3,603784854.4,
Estonia,7545903135,9636328257,11710893962,13933530249,16781576611,17856996537,11337608869,13701046870,19399930714,20096966026
Ethiopia,2346127879,3174982379,4366321978,5548032115,6263311353,8282449664,9305261093,9799617958,10088522119,
